nct_id,title,overall_status,conditions,sex,minimum_age_years,maximum_age_years,countries,phases,interventions,eligibility_text,brief_summary,last_update,source_url
NCT04792528,REACT MCI - Repeated Advanced Cognitive Training in Mild Cognitive Impairment,ACTIVE_NOT_RECRUITING,"[""Mild Cognitive Impairment""]",ALL,18.0,80.0,"[""Norway""]","[""NA""]","[""Computerized cognitive training."", ""Generalized brain training / Active control""]","Inclusion Criteria for the REACT MCI study:

* Diagnosis of MCI, based on the Mayo/winblad criteria or confirmation of current MCI status within the last 6 months before study enrollment.
* The ability to use and accessibility to an iPad or computer.
* Fluent in Norwegian.
* Spinal tap performed and results available

Exclusion Criteria for the REACT MCI study:

* Patients unable to undergo a MRI investigation based on claustrophobia or metal foreign bodies are excluded from the study.
* Major psychiatric illness and current substance abuse
* Recent stroke

Inclusion Criteria for the REACT MCI Glymphatics substudy:

* Enrollment in the REACT MCI study
* Participant allocated to Sorlandet Hospital or Oslo University Hospital

Exclusion Criteria for the REACT MCI Glymphatics substudy:

* Individuals with known allergy against contrast solutions
* Individuals with other serious allergies
* Individuals with kidney failure or glomerular filtration rate \< 30
* Individuals younger than 18 or older than 80
* Pregnant or lactating women
* For individuals \>70 years or with medications affecting kidney function the glomerular filtration rate needs to be less than week old.","Background:

Dementia is a debilitating and devastating disease impacting the individuals, their families, and the health care system. According to the World Health Organization the dementia epidemic could overwhelm the global health care system and undermine social and economic development. Currently, no curative treatment for dementia exists despite immense research activity.

The cognitive and functional impairment in dementia, especially Alzheimer's disease (AD), develop slowly decades before clinical signs emerge. This knowledge has led to the recognition of a prodromal period of mild cognitive impairment (MCI), between normal cognition and dementia. This is at present the earliest stage for intervention in dementia; even a short delay in dementia progression will have a large impact on global economy and health care.

Objectives:

In this clinical multicenter study, we aim to investigate the efficiency and cost-effectiveness of working memory training in MCI. To identify high responders to training analysis of genetic markers, relative's stress and craniospinal clearance will be performed.

Participants and methods:

This study is a blinded, randomized and controlled trail that will include 213 participants, diagnosed with MCI, included from five Norwegian Memory clinics in four health care regions. The groups will be randomized to either two training periods, one training period or active control. The intervention is computerized working memory training. Neuropsychological status, activities of daily living (ADL), and relative stress and quality of life will be assessed at baseline and 3, 6, 12 ,24 and 48 months after training. Structural MRI will be performed at baseline, and 3 and 6 months after training.

For participants in the REACT MCI glymphatics substudy craniospinal clearance will be measured at baseline.

A cost-utility analysis will be performed to evaluate if the working memory training is more cost-effective compared to the active control group in the MCI phase, taking a societal perspective.",2026-04-30,https://clinicaltrials.gov/study/NCT04792528
NCT04793776,Manage Emotions to Reduce Aggression (MERA),RECRUITING,"[""Stress Disorders, Post-Traumatic"", ""Aggression"", ""Emotion Regulation""]",ALL,18.0,64.0,"[""United States""]","[""NA""]","[""Manage Emotions to Reduce Aggression"", ""Present Centered Psychotherapy""]","Inclusion Criteria:

1. Male and female Veterans who deployed to combat zones since 9/11.
2. Currently meets criteria for full or subthreshold PTSD, determined by the Clinician-Administered PTSD Scale for DSM-5
3. Engaged in at least 3 self-reported aggressive acts (e.g., yelling, throwing objects, hitting objects/people) in the last month, measured by the Overt Aggression Scale
4. Impulsive aggression is his/her primary form of aggression, determined by the Impulsive Premeditated Aggression Scale
5. Each Veteran must allow an independent aggression rater (live-in partner, family member, or roommate above 18 years of age)\] verify the number of aggressive acts, using the Overt Aggression Scale.
6. Agreement not to change psychotropic medications through the duration of the study.

Exclusion Criteria:

1. Currently suicidal with intent of self-harm in the last week.
2. Currently homicidal with plans to hurt a specific person.
3. Unable to complete self-report measures.
4. Meets diagnostic criteria for bipolar disorder or psychotic disorder.
5. Had a psychotropic medication change within 4 weeks prior to the baseline assessment. Veterans receiving general mental health services or engaging in usual care will be allowed to participate.","PTSD is one of the most prevalent mental health conditions affecting Veterans who have served since 9/11. Veterans with posttraumatic stress disorder (PTSD) report difficulty controlling impulsive aggression (IA). An inability to manage one's emotions (emotion dysregulation) is an underlying mechanism of IA. Reducing IA and increasing use of PTSD evidence-based psychotherapies are two critical missions for the Veterans Health Administration. The proposed research supports these missions by comparing a 3- session emotion regulation treatment (Manage Emotions to Reduce Aggression) to a control group in order to determine if MERA can reduce IA and prepare Veterans for PTSD treatment. By enhancing Veterans' abilities to cope with trauma-related emotions and feel equipped to initiate PTSD treatments, this research aims to help Veterans decrease IA and ultimately recover from PTSD.",2026-06-08,https://clinicaltrials.gov/study/NCT04793776
NCT04800588,Computerized Tests of Cognitive Decline in Presymptomatic Alzheimer's Disease,RECRUITING,"[""Alzheimer Disease"", ""Cognitive Decline"", ""Aging""]",ALL,18.0,89.0,"[""United States""]","[""NA""]","[""California Cognitive Assessment Battery""]","Inclusion Criteria:

* Must be able to use computer mouse and touch screen
* Must speak English as a primary language
* Must speak Spanish as a primary language (for Latino participants completing our Spanish translation)

Exclusion Criteria:

* History of psychiatric disorder
* History of stroke or transient ischemic attack
* History of substance abuse
* History of medical or sensory disorders that are incompatible with effective testing
* History of traumatic brain injury with hospitalization and extended loss of consciousness
* History of epilepsy
* History of depression or anxiety",The investigators will study performance on computerized cognitive tasks in healthy participants of different ages to gather normative data for newly developed computerized cognitive tests. These tests are designed to permit the early detection of individuals at risk of age-related cognitive decline.,2025-05-22,https://clinicaltrials.gov/study/NCT04800588
NCT04801589,Goal-Directed Sedation in Mechanically Ventilated Infants and Children,RECRUITING,"[""Delirium"", ""Critical Illness"", ""Sedation Complication"", ""Executive Dysfunction"", ""Post Traumatic Stress Disorder""]",ALL,0.8438349228754058,11.0,"[""United States""]","[""PHASE3""]","[""Dexmedetomidine"", ""Midazolam""]","Inclusion Criteria:

* Patients will be eligible for enrollment if they are 1) aged 44 weeks post-menstrual age and up to 11 years, 2) planned admission to the pediatric ICU at Monroe Carell Jr. Children's Hospital at Vanderbilt (MCJCHV), and 3) requiring mechanical ventilation (MV) and sedation. Pre-pubescent children (\<11 years) are typically different from older children who often behave physiologically more similar to adults. Pre-pubescent children are more likely to be admitted to the PICU and are undergoing a steeper curve of neurocognitive maturation. Therefore, these patients may be at greatest risk for worse brain dysfunction.

Exclusion Criteria: Patients will be excluded (i.e., not approached for consent) if any one is present:

1. Receiving continuous sedation for \> 72 hours prior to screening.
2. Rapidly resolving respiratory failure at screening, with planned immediate liberation from MV.
3. Severe developmental delay at baseline defined as a score of ≥ 4 (severe disability) on the Pediatric Cerebral Performance Category (PCPC) Scale, referencing cognitive status prior to critical illness.
4. Clinically significant 2nd or 3rd degree heart block or bradycardia \< 60 beats per minute.
5. Benzodiazepine dependency with ongoing medical requirement of continuous benzodiazepine (infusion).
6. Inability to co-enroll with another study.
7. Expected death or care plan for withdrawal of support measures within 24 hours of enrollment.
8. Bilateral vision loss.
9. Deafness that will preclude delirium evaluation.
10. Inability to understand English that will preclude delirium evaluation. The inability to understand English in verbal participants will not result in exclusion when the research staff is proficient and/or translation services are actively available in that particular language.
11. Documented allergy to either dexmedetomidine or midazolam.
12. Medical requirement of continuous (infusion) neuromuscular blockade administration that is planned ongoing for at least 48 hours at time of screening.
13. Inability to start the informed consent process within the 72 hours from the time that all inclusion criteria were met (possible reasons):

    1. Attending physician refusal
    2. 72-hour period of eligibility was exceeded before the patient was enrolled
    3. Legal Authorized Decision Maker (e.g. legal guardian/power of attorney) refusal
    4. Legal Authorized Decision Maker (e.g. legal guardian/power of attorney) unavailable
    5. Legal Authorized Decision Maker (e.g. legal guardian/power of attorney) is non-English speaking and available research staff is not proficient and/or translation services are not available in that particular language.
14. Adjusted dosing weight is \> 50 kg at time of screening.","Ventilated pediatric patients are frequently over-sedated and the majority suffer from delirium, a form of acute brain dysfunction that is an independent predictor of increased risk of dying, length of stay, and costs. Universally prescribed sedative medications-the GABA-ergic benzodiazepines-worsen this brain organ dysfunction and independently prolong duration of ventilation and ICU stay, and the available alternative sedation regimen using dexmedetomidine, an alpha-2 agonist, has been shown to be superior to benzodiazepines in adults, and may mechanistically impact outcomes through positive effects on innate immunity, bacterial clearance, apoptosis, cognition and delirium. The mini-MENDS trial will compare dexmedetomidine and midazolam, and determine the best sedative medication to reduce delirium and improve duration of ventilation, and functional, psychiatric, and cognitive recovery in our most vulnerable patients-survivors of pediatric critical illness.",2025-09-29,https://clinicaltrials.gov/study/NCT04801589
NCT04804241,Senicapoc in Alzheimer's Disease,RECRUITING,"[""Mild Cognitive Impairment"", ""Alzheimer Disease""]",ALL,55.0,85.0,"[""United States""]","[""PHASE2""]","[""Placebo Tablet"", ""Senicapoc""]","Inclusion Criteria:

* Age 55-85
* Fluent in either English or Spanish
* Willing to be randomized to active drug (10 mg Senicapoc) vs. placebo (3:1 ratio)
* Clinical Dementia Rating (CDR) global score of 1 or 0.5
* Education adjusted scores between 12-28 on the Montreal Cognitive Assessment (MoCA) at the Screening visit.
* A consensus clinical diagnosis of either amnestic Mild Cognitive Impairment (MCI) or mild AD dementia. Diagnoses are made by a comprehensive case conference review for all participants in the ADRC longitudinal cohort and all CADC referrals, resulting in a consensus diagnosis made according to current research criteria. For patients referred from other clinics, the case will be reviewed by a study physician and neuropsychologist and only patients who satisfy criteria for probable AD (McKhann et al 1984) or amnestic MCI (Petersen et al 2004) will be eligible for enrollment.
* Vision (with or without correction) of at least 20/50 for distant vision
* All participants will need a study partner informant who has at least 6 hours of contact per week with the participant. The study partners are used to help answer questions on the subject's behalf, since many of them will be impaired and may need assistance with providing accurate information. The study partners are not asked to provide any opinions or judgements about the subjects.
* For Females of childbearing potential: Must agree to practice a highly effective method of contraception throughout the study until completion of the Week 78 follow up visit. Highly effective methods of contraception are those that alone or in combination result in a failure rate of less than 1% per year when used correctly and consistently.

Exclusion Criteria:

* Unstable medical illnesses including hepatic insufficiency (elevated ALT, AST, or GGT; or low albumin attributable to liver disease), renal insufficiency (CK-EPI stage 4 or higher, or estimated GFR \<30)
* Unstable ischemic cardiovascular disease, respiratory failure, moderate or severe congestive heart failure - New York Heart Association class III or IV, cancer, unstable hematologic disease or a life expectancy of \<3 years
* Use of experimental AD treatments
* Unable to undergo MRI scanning (e.g. pacemaker, metallic implants, severe claustrophobia)
* History of chronic psychiatric illness (e.g. schizophrenia), any episode of major depression within last 2 years, or current Geriatric Depression Scale (GDS) \> 6, any recent suicide attempts or suicidal ideation. Subjects with a diagnosis of bipolar disorder may be included if they have been clinically stable for a minimum of 3 years prior to the Screening visit. Clinical stability to be determined by the Principal Investigator.
* History of a serious infectious disease affecting the brain (including neurosyphilis, meningitis, or encephalitis), head trauma resulting in any persistent cognitive deficit
* History of alcohol or drug abuse/dependence within the past 5 years
* Known allergy to chemically related compounds (e.g. clotrimazole)
* Lack of good venous access, such that multiple blood draws would be precluded
* Regular use of any of these CNS active medications: benzodiazepines, antipsychotics, narcotics, or anti-epileptic drugs. Exceptions may be allowed by the Principal Investigator for regular use of low doses of CNS active medications. Subjects using any of these treatments will be instructed to hold their dose on the evening prior and the day of the efficacy visits (Baseline, Week 26 and Week 52). Stable doses (\> 6 weeks) of cholinesterase inhibitors or memantine will be allowed, as will stable doses of anti-depressants.
* Female subjects who are pregnant or breastfeeding or who plan to become pregnant during participation in this trial
* Inability to swallow oral tablets

Exclusions for Cerebrospinal Fluid (CSF) Sub-study:

* Presence of an implanted shunt for the drainage of CSF or an implanted CNS catheter
* History of bleeding diathesis or coagulopathy,
* On anticoagulant therapy (within 14 days of lumbar puncture (LP), including but not limited to warfarin, heparin, dabigatran, rivaroxaban, and apixaban,
* Requires daily antiplatelet therapy, including but not limited to aspirin (unless \< 81mg/day), clopidogrel, dipyridamole, and ticlopiidinegrel. However, the investigators will not exclude those who can safely hold antiplatelet therapy for 7 days prior to LP. Safety will be determined by the participant's Primary Care Provider and study PI.
* For those who take antiplatelet therapy intermittently (e.g. aspirin as needed for pain), the investigators will exclude any doses within 48 hours of the LP or more than two dosses within 7 days of LP.
* platelet count less than the lower limit of normal (platelet counts between 100,000 and 150,000 mm3 are permissible as long as the investigator confirms there is no evidence of current bleeding diathesis or coagulopathy)
* The investigators will require INR/PT and aPTT labs to be done within 14 days of LP and will exclude those with INR \> 1.30 or abnormally elevated aPTT.

Exclusions for PET Sub-Study:

* Does not have good venous access, such that multiple blood draws would be precluded
* Prior radiation exposure of \> 2 rem total within last 12 months.
* Probable AD dementia patients with a global cortical SUVr \< 1.08.","Development of novel disease-modifying therapies for Alzheimer's disease (AD) remains of paramount importance. This study will be a Phase II randomized clinical trial testing Senicapoc in patients with mild or prodromal AD. This will be a small Proof of Mechanism study to prove biological activity and target engagement in humans with early AD. The investigators will study up to 55 patients over 52 weeks, with primary outcomes being Alzheimer's Disease Assessment Scale Cognitive Subscale (ADAS-Cog) scores and blood and cerebrospinal fluid (CSF) markers of neuroinflammation. This pilot study will provide an estimate of treatment effect size on cognitive trajectory, daily function, and brain atrophy.",2026-08-17,https://clinicaltrials.gov/study/NCT04804241
NCT04829500,Effectiveness and Implementation of Montessori Approaches in Person-Centered Care Within VA,ACTIVE_NOT_RECRUITING,"[""Dementia or a Related Disorder"", ""Mental Health Diagnoses"", ""Symptoms of Agitation or Aggression""]",ALL,,,"[""United States""]","[""NA""]","[""Montessori Approaches to Person-Centered Care (MAP-VA)""]","Inclusion Criteria:

Residents who meet at least one of the following eligibility criteria will be eligible:

* dementia diagnosis or related disorder
* Cognitive Function Scale score indicative of impairment
* positive Patient Health Questionnaire (PHQ-9) depression score
* mental health diagnosis (e.g., ICD-10 codes)
* indication of agitation or aggression per MDS behavior items
* active prescription for a PRN or scheduled antipsychotic, sedative/hypnotic, or benzodiazepine/anxiolytic

Exclusion Criteria:

* Residents admitted for hospice or respite care","Background: Addressing behavioral and neuropsychiatric symptoms of Veterans with dementia and serious mental illness (SMI) such as schizophrenia can be challenging for staff in VA long-term care settings, called Community Living Centers or CLCs. These behaviors of distress (agitation, aggression, and mood disturbance) are not just associated with staff stress and burnout; they also hasten residents' functional decline, decrease quality of life, and increase mortality. Staff training in non-pharmacological interventions can be effective. Yet systems barriers, task-based care models, and time constraints often result in staff employing ""quicker,"" less effective strategies. Montessori Approaches to Person-Centered Care for VA (MAP-VA)- a staff training, intervention, and delivery toolkit- developed in collaboration with VA operational partners, Veterans, and frontline CLC staff is positioned to respond to this challenge. The investigators' prior work shows probable impacts on CLC quality indicators at the individual and unit level (e.g., psychotropic medications, depressive symptoms, weight loss, falls, pain). The goal of this study is to evaluate the MAP-VA program and necessary supports for a successful implementation at 8 VA CLCs.

Significance/ Innovation: VHA's Modernization Plan focuses on empowering front-line staff to lead quality improvement efforts like the ones taught through MAP-VA. MAP-VA is distinct from existing interventions in its: 1) application to Veterans with a range of diagnoses and cognitive abilities; 2) emphasis on pairing practical skill-building for staff with overcoming system-level barriers that inhibit person-centered care; and 3) engagement of all staff rather than a reliance on provider-level champions. Yet, MAP-VA is a complex intervention that requires participation of multiple stakeholder groups, making implementation facilitation necessary. To date, no studies have evaluated MAP implementation success in operational settings (community or VA) and sustainability is rarely examined.

Aims: This 4-year study will examine both the effectiveness of the MAP-VA program on resident outcomes, person-centered care practices, and organizational culture as well as an evaluation of the implementation barriers to adopting MAP-VA in a sustainable way over a 12 month period. Staff and residents at 8 CLCs will participate in the study.",2025-02-10,https://clinicaltrials.gov/study/NCT04829500
NCT04838301,Allopregnanolone Regenerative Therapeutic for Mild Alzheimer's Disease,ACTIVE_NOT_RECRUITING,"[""Alzheimer Dementia"", ""Late Onset Alzheimer Disease"", ""Neurodegenerative Diseases""]",ALL,55.0,80.0,"[""United States""]","[""PHASE2""]","[""Allopregnanolone"", ""Placebo""]","Main Inclusion Criteria:

* Men and postmenopausal women
* Age 55 to 80 years old
* Meets NIA-AA criteria for probable AD dementia
* MMSE of 20-26
* Plasma p-Tau217 positive
* Geriatric Depression Scale short form (GDS-S) score of ≤ 6
* No medical contraindications to participation
* Capacity to provide informed consent at screening

Main Exclusion Criteria:

* Dementia other than probable AD
* Use of benzodiazepines, anticonvulsants, antipsychotics, or other drugs that might interact with the GABA-A receptor complex
* History of stroke with a modified Hachinski Ischemic Scale score \>4
* History of seizure disorder, focal brain lesion, traumatic brain injury
* History within the last 5 years of a primary or recurrent malignant disease
* Unstable or clinically significant cardiovascular, kidney or liver disease
* MRI indicative of any other significant abnormality, including but not limited to one or more significant ARIA-E or macro-hemorrhage findings, or multiple microhemorrhages (\>8), or Fazekas score of 3; encephalomalacia, aneurysms, vascular malformations, subdural hematoma, or space occupying lesions
* Any conditions that would contraindicate MRI studies.
* No evidence of AD-like pattern of brain atrophy","A phase 2, double-blind, randomized, placebo-controlled clinical trial to evaluate the safety and efficacy of Allopregnanolone as a regenerative therapeutic for Alzheimer's disease.",2026-06-30,https://clinicaltrials.gov/study/NCT04838301
NCT04840030,Preventing Cognitive Decline: The CITA GO-ON Multi-domain Intervention Study,ENROLLING_BY_INVITATION,"[""Dementia"", ""Cognitive Decline"", ""Prevention"", ""Life Style"", ""Risk Factor, Cardiovascular"", ""Diet Habit"", ""Cognitive Intervention"", ""Behavioral Intervention""]",ALL,60.0,85.0,"[""Spain""]","[""NA""]","[""Multimodal intervention (MM-int)""]","Inclusion Criteria:

1. People between 60-85 years old, willing to participate and comply with all the study evaluation and intervention procedures.
2. With a CAIDE dementia Risk score ≥ 6
3. Below-than-expected cognitive performance in at least one of three brief cognitive tests:

   * Fototest score ≤ 35
   * Memory Alteration Test -T@M score ≤40
   * Cognitive complaints as compared with a previous subjective performance - defined by a Cognitive Change Index - self-report version score \>=20 on the first 12 (episodic memory) items to assist with defining Subjective Cognitive Decline (SCD) (Risacher et al. 2017).

Exclusion Criteria:

Exclusion criteria are conditions that may affect the achievement of study objectives and procedures or clinical diagnoses that by themselves compromise participant's cognitive performance or compliance with study procedures. They include:

1. Inability to perform a neuropsychological evaluation or a cognitive stimulation program (sensory limitation, mental retardation, illiteracy)
2. Barthel index \< 90.
3. Geriatric Depression Scale ≥ 9
4. Dementia or Moderate Cognitive impairment (MMSE \< 20).
5. Presence of any neurological, psychiatric or systemic disease that produce cognitive impairment or dementia including, but not limited to, Huntington's disease, multiple sclerosis, Parkinson's disease, Down syndrome, alcohol abuse or active drugs, or major psychiatric disorders including ongoing major depression, schizophrenia or bipolar or schizoaffective disorder.
6. Unstable ischemic cardiopathy, uncontrolled heart arrhythmia, thromboembolic disease in the last year. Moderate cardiorespiratory insufficiency (including Class III or IV congestive heart failure, clinically significant aortic stenosis, cardiac arrest history, or uncontrolled angina). Currently receiving physical therapy or cardiopulmonary rehabilitation.
7. Large vessel stroke in the past two years
8. History of transient ischemia attack (TIA) or small vessel stroke in the last 6 months
9. Any cerebrovascular accident with significant residual effects on cognition or functional autonomy.
10. History within the last 2 years of treatment for primary or recurrent malignant disease, excluding non-melanoma skin cancers, resected cutaneous squamous cell carcinoma in situ, basal cell carcinoma, cervical carcinoma in situ, or situ prostate cancer with normal prostate-specific antigen posttreatment
11. Recent (\< 3 months) bone fracture.
12. History of hip fracture, joint replacement, or spinal surgery in the last 6 months
13. Clinically significant abnormalities in laboratory blood tests as per judgment of the site Study Clinician
14. Any conditions affecting safe engagement in the intervention in the judge of the study investigators.","The GOIZ ZAINDU Gipuzkoa - GO - ON Study is an intervention trial to evaluate the efficacy of dementia prevention strategies in cognitively frail people. It is a large-scale randomized controlled trial in over 1000 older adults between 60 and 85 years old with increased CAIDE risk score (≥6), non-demented but with low performance in at least one of three brief cognitive tests. Participants will be randomized to receive standard health advice (SHA-control) or a multidomain intervention (MM-Int) consisting of 1) Risk factor control (vascular factors, polypharmacy); 2) Cognitive training, 3) Physical activity, 4) Dietary changing program, and 5) emotional counseling and social engagement.

The primary aim is to demonstrate a 20% reduction in the proportion of subjects who decline in their NTB performance (z score) after 24 months in the intervention group compared to the controls.

Secondary aims include: 1) Analyze cost-effectiveness; 2) Show a beneficial effect of the intervention on functional abilities, quality of life, and depressive and anxiety symptoms; 3) Investigate the impact of a lifestyle intervention on aging. In this sense, biological samples and neuroimaging studies will be collected to allow exploratory investigations on aging mechanisms, amyloid imbalance, tau pathology, epigenetics, neuroinflammation, vascular dysfunction, lipid dysregulation, white matter disintegration, cognitive and brain reserve.

This protocol is participant-centered, empowering citizens since the recruitment process to gain access to knowledge about their dementia risk status via web or by phone and then decide to participate. Intervention activities have also taken into account participants' perspective with the design of easy-to-use and appealing activities (e.g., using a self-administered at-home physical activity program such as VIVIFRAIL© and EXERCITA© cognitive training materials that have been developed, taking into account the Basque Country population's cultural, linguistic and educational particularities; and diet and nutritional workshops with famous chefs to learn innovative and attractive healthy recipes).

The GO-ON trial may shed light on the tools that people need to fulfill the expectation of an active, healthy dementia-free aging. These include digital tools that in the COVID19 pandemic have shown to be effective in removing distance barriers. GO-ON uses them to give support and expand the possibilities to clinical assessment settings and intervention delivery. The digital part of the intervention may expand preventive actions to small rural areas, including digital socialization.

GO-ON Study, which starts in summer 2021, is the first large-scale lifestyle intervention trial in Southern Europe that takes part in the WORLDWIDE FINGERs network and will help answer whether the FINGER results can be replicated. The intervention design has been made on the basis that if proven to be efficacious, it may be easily applied at a Public System-level to guarantee a rapid and easy translation of research results to Primary Care settings and people homes.",2023-02-16,https://clinicaltrials.gov/study/NCT04840030
NCT04840979,Discovery and Validation of Genetic Variants Affecting Microglial Activation in Alzheimer's Disease,ACTIVE_NOT_RECRUITING,"[""Alzheimer Disease""]",ALL,50.0,,"[""United States""]","[""PHASE2""]","[""11C-ER176"", ""18F-florbetaben""]","Inclusion criteria:

1. Age 50 and older at time of study entry.
2. Meet criteria for either a) amnestic mild cognitive impairment (single or mixed domain) or Alzheimer's disease, or b) have no cognitive impairment, based on history, exam, and neuropsychological testing.
3. Patients must have Clinical Dementia Rating Scale score of 0.5 or 1 at enrollment. Controls must have Clinical Dementia Rating scale score of 0 at enrollment.
4. Subjects must have AD biomarker previously obtained for research or clinical purposes or undergo a 18F-florbetaben PET scan during the screening process. Patients must have positive amyloid PET scan or CSF results consistent with AD. Controls must have a negative amyloid PET scan or CSF results not consistent with AD.
5. Self-identify as white, non-Hispanic or Latino
6. Subjects must be ableto provide informed consent
7. Written and oral fluency in English
8. Able to participate in all scheduled evaluations and to complete all required tests and procedures.
9. In the opinion of the investigator, the subject must be considered likely to comply with the study protocol and to have a high probability of completing the study.

Exclusion Criteria:

1. Past or present history of certain brain disorders other than MCI or AD.
2. Certain significant medical conditions, which make study procedures of the current study unsafe. Such serious medical conditions include uncontrolled epilepsy and multiple serious injuries.
3. Contraindication to MRI scanning
4. Conditions precluding entry into the scanners (e.g. morbid obesity, claustrophobia, etc.).
5. Exposure to research related radiation in the past year that, when combined with this study, would place subjects above the allowable limits.
6. Participation in the last year in a clinical trial for a disease modifying drug for AD.
7. Inability to have a catheter in subject's vein for the injection of radioligand.
8. Inability to have blood drawn from subject's veins.
9. Taking anticoagulant (e.g., warfarin) or immunosuppressive/immunomodulatory medication. Nonsteroidal anti-inflammatory drugs (NSAIDs) are not exclusionary. Use of steroids in the 30 days preceding the PET scan.
10. Having a diagnosis of a chronic inflammatory disease (for example, multiple sclerosis, inflammatory bowel disease, rheumatoid arthritis, psoriasis, systemic lupus erythematosus) or a chronic infectious disease such as H.I.V.","The primary objectives are to validate that a previously identified gene variant influences the proportion of activated microglia (PAM) and the amount of TSPO binding on PET imaging, to identify novel loci that influence PAM and TSPO PET, and to understand the functional consequences of gene variants that drive microglial activation in Alzheimer's disease.",2026-05-14,https://clinicaltrials.gov/study/NCT04840979
NCT04844060,Cerebro Spinal Fluid Collection (CSF),RECRUITING,"[""Alzheimer Disease"", ""Dementia With Lewy Bodies"", ""Frontotemporal Dementia"", ""Parkinson's Disease Dementia"", ""Multiple System Atrophy""]",ALL,,,"[""France""]",[],"[""Lumbar punction""]","Inclusion Criteria:

* Patients with lumbar puncture (LP)
* Patients with accurate clinical diagnosis

Exclusion Criteria:

* Patients who do not have a lumbar puncture
* Patients for whom no accurate diagnostic information is available","Cognitive neurodegenerative diseases are a major public health issue. At present, the diagnosis of certainty is still based on anatomopathological analyses. Even if the diagnostic tools available to clinicians have made it possible to improve probabilistic diagnosis during the patient's lifetime, there are still too many diagnostic errors and sub-diagnostic in this field. The arrival of biomarkers has made it possible to reduce these diagnostic errors, which were of the order of 25 to 30%. This high error rate is due to different parameters. These diseases are numerous and often present common symptoms due to the fact that common brain structures are affected. These diseases evolve progressively over several years and their early diagnosis, when the symptoms are discrete, makes them even more difficult to diagnose at this stage. In addition, co-morbidities are common in the elderly, further complicating the diagnosis of these diseases.

At present, the only cerebrospinal fluid (CSF) biomarkers that are routinely used for the biological diagnosis of neurodegenerative cognitive pathologies are those specific to Alzheimer's disease: Aβ42, Aβ40, Tau-total and Phospho-Tau. These biomarkers represent an almost indispensable tool in the diagnosis of dementia.

It is therefore important to determine whether Alzheimer's biomarkers can be disrupted in other neurodegenerative cognitive pathologies, but also to find biomarkers specific to these different pathologies by facilitating the implementation of clinical studies which will thus make it possible to improve their diagnosis.",2023-04-27,https://clinicaltrials.gov/study/NCT04844060
NCT04850053,Detection of Alzheimer's Disease (AD)-Related Seeds for AD Diagnosis,RECRUITING,"[""Alzheimer's Disease""]",ALL,55.0,75.0,"[""China""]",[],[],"Inclusion Criteria:

* Aged 55-75. Written informed consent obtained from participant or legal guardian prior to any study-related procedures. The diagnosis of AD is made using the National Institute on Aging and the Alzheimer's Association (NIA-AA) criteria. As for non-AD dementia, the McKeith criteria are used for DLB,the revised diagnostic criteria proposed by the International behavioral variant (bvFTD) Criteria Consortium for bvFTD,the Gorno-Tempini criteria for the semantic variant FTD or non-fluent aphasia, the Movement Disorder Society Task Force criteria for PDD, the vascular behavioral and cognitive disorders (Vas-Cog) criteria for VaD, the Armstrong's criteria for CBD, the CDC's diagnostic criteria for CJD, etc. In addition, normal cognition is supported by MMSE, CDR and other cognitive function scales.

Exclusion Criteria:

* Other medical or psychiatric illness. No one can serve as an informant. Refused to complete a cognitive test and provide biospecimen.","The study will investigate the biomarkers of Aβ and Tau seeds in plasma detected by Alzheimer's disease (AD) related seeds quantitative detector (AD-seeds-detector), and their sensitivity and specificity in diagnosing AD, compared with those from age-matched cognitively normal controls, and those with other types of dementia.

To perform a high throughput analysis of the amount of Aβ and Tau seeds, the investigators have developed an AD-seeds-detector, in which a fluorescence microplate reader was combined with an oscillating mixer or water-bath-type ultrasonicator.",2026-03-23,https://clinicaltrials.gov/study/NCT04850053
NCT04855630,Combating Alzheimer's Through Sleep and Exercise,RECRUITING,"[""Alzheimer Disease"", ""Dementia""]",ALL,45.0,80.0,"[""United States""]","[""NA""]","[""DREEM 2 Headband"", ""Exercise Routine""]","Inclusion Criteria:

1. Able to perform mild exercise
2. Able to wear DREEM 2 Headband
3. Able to wear a Fitbit wrist watch
4. Able to perform the Everlywell biomarker procedure
5. Able to Understand and Speak English
6. Able to operate a digital device like mobile phone, iPad, or computer
7. Self-reported history of problems with cognitive impairment: memory, concentration, and processing information
8. Only participants cognitively able and willing to provide consent will be included.

Exclusion Criteria:

1. Prohibited from or unable to perform mild exercise
2. Unable to wear wrist watch or headband devices, or unable to supply pinprick blood sample for any reason
3. Unable to speak or understand English
4. Unable to use mobile device/smartphone technology
5. Unable or unwilling to consent for any reason.",The purpose of this research is to see how sleep and exercise affects dementia risk over time.,2026-04-20,https://clinicaltrials.gov/study/NCT04855630
